time,host,ip,period,icmp,ttl,rtt,trans_pack,recv_pack,pack_loss,min/avg/max/mdev
15-02-2023-10-39-12,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=26.5,1,1,0%,26.468/26.468/26.468/0.000
15-02-2023-10-39-13,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=46.5,1,1,0%,46.510/46.510/46.510/0.000
15-02-2023-10-39-14,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=28.2,1,1,0%,28.208/28.208/28.208/0.000
15-02-2023-10-39-15,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=34.9,1,1,0%,34.868/34.868/34.868/0.000
15-02-2023-10-39-16,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=33.5,1,1,0%,33.470/33.470/33.470/0.000
15-02-2023-10-39-17,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=34.7,1,1,0%,34.741/34.741/34.741/0.000
15-02-2023-10-39-18,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=35.0,1,1,0%,35.025/35.025/35.025/0.000
15-02-2023-10-39-19,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=29.4,1,1,0%,29.433/29.433/29.433/0.000
15-02-2023-10-39-20,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=36.1,1,1,0%,36.103/36.103/36.103/0.000
15-02-2023-10-39-21,google.com,(142.250.186.46),1,icmp_seq=1,ttl=116,time=34.0,1,1,0%,34.027/34.027/34.027/0.000
15-02-2023-10-39-22,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=39.2,1,1,0%,39.194/39.194/39.194/0.000
15-02-2023-10-39-23,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=35.5,1,1,0%,35.499/35.499/35.499/0.000
15-02-2023-10-39-24,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=31.0,1,1,0%,30.961/30.961/30.961/0.000
15-02-2023-10-39-26,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=39.5,1,1,0%,39.500/39.500/39.500/0.000
15-02-2023-10-39-27,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=37.4,1,1,0%,37.447/37.447/37.447/0.000
15-02-2023-10-39-28,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=29.3,1,1,0%,29.322/29.322/29.322/0.000
15-02-2023-10-39-29,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=28.7,1,1,0%,28.680/28.680/28.680/0.000
15-02-2023-10-39-30,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=39.1,1,1,0%,39.050/39.050/39.050/0.000
15-02-2023-10-39-31,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=32.7,1,1,0%,32.658/32.658/32.658/0.000
15-02-2023-10-39-32,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=32.1,1,1,0%,32.058/32.058/32.058/0.000
15-02-2023-10-39-33,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=26.9,1,1,0%,26.947/26.947/26.947/0.000
15-02-2023-10-39-34,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=27.3,1,1,0%,27.257/27.257/27.257/0.000
15-02-2023-10-39-35,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=30.7,1,1,0%,30.699/30.699/30.699/0.000
15-02-2023-10-39-36,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=29.1,1,1,0%,29.126/29.126/29.126/0.000
15-02-2023-10-39-37,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=30.8,1,1,0%,30.758/30.758/30.758/0.000
15-02-2023-10-39-38,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=25.8,1,1,0%,25.774/25.774/25.774/0.000
15-02-2023-10-39-39,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=39.2,1,1,0%,39.246/39.246/39.246/0.000
15-02-2023-10-39-40,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=44.5,1,1,0%,44.452/44.452/44.452/0.000
15-02-2023-10-39-41,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=23.6,1,1,0%,23.590/23.590/23.590/0.000
15-02-2023-10-39-42,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=31.6,1,1,0%,31.625/31.625/31.625/0.000
15-02-2023-10-39-44,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=31.6,1,1,0%,31.570/31.570/31.570/0.000
15-02-2023-10-39-45,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=32.2,1,1,0%,32.226/32.226/32.226/0.000
